ID,Name,Type,Level,Rarity,Auto Tier,Base Power,Balanced Attack,Balanced Defense,Auto Value,Auto Weight,Durability,Max Durability,Damage Type,Armor Type,Special Effect,Description,Power Score
1,Toxic Warhammer of the Warrior,Weapon,15,Uncommon,Tier 2,1.5,17,0,300,4.1,148,211,Bludgeoning,,+5 Poison Damage,Imbued with magical energy,19.6
2,Crystal Flail of Strength,Weapon,9,Common,Tier 1,1,10,0,45,2.4,104,121,Piercing,,Stun Chance 10%,Once wielded by a hero,10
3,Hide Circlet,Armor,26,Uncommon,Tier 3,2.2,0,20,1040,7.1,204,247,,Heavy,Magic Resist 15%,Worn by many warriors,23
4,Crystal Cape of Absorption,Armor,31,Common,Tier 4,3,0,24,1240,8.5,169,226,,Light,+50 Health,Whispers of ancient magic,24
5,Cursed War Axe,Weapon,2,Common,Tier 1,1,10,0,10,1.7,58,66,Piercing,,+5 Poison Damage,Holds mysterious power,10
6,Blessed Halberd,Weapon,6,Uncommon,Tier 1,1,12,0,60,2.4,134,164,Piercing,,Critical +10%,Marked with runes,13.8
7,Cursed Robe,Armor,13,Common,Tier 2,1.5,0,12,130,4,106,115,,Light,Ice Resist 50%,Recovered from a great battle,12
8,Obsidian Sabatons,Armor,50,Common,Tier 5,4,0,32,3750,12,277,310,,Light,+50 Health,Decorated with jewels,32
9,Leather Chestplate of the Titan,Armor,28,Common,Tier 3,2.2,0,18,560,6.7,179,232,,Heavy,+50 Health,Never dulls,18
10,Steel Pants,Armor,30,Common,Tier 3,2.2,0,18,600,6.9,175,208,,Light,Health Regen +5,Once wielded by a hero,18
11,Enchanted Cloak of the Paladin,Armor,40,Epic,Tier 4,3,0,38,16000,12.7,517,537,,Light,,A reliable piece of equipment,60.8
12,Rusty Lance,Weapon,8,Uncommon,Tier 1,1,12,0,80,2.6,118,185,Bludgeoning,,Stun Chance 10%,Shows signs of age,13.8
13,Iron Trident,Weapon,35,Uncommon,Tier 4,3,35,0,2800,8.8,166,275,Piercing,,+15 Ice Damage,Surprisingly lightweight,40.3
14,Light Tunic,Armor,44,Common,Tier 5,4,0,32,3300,11.5,273,296,,Heavy,Mana Regen +10,Crafted with care,32
15,Elven Longsword of the Phoenix,Weapon,48,Epic,Tier 5,4,64,0,36000,14.4,539,580,Slashing,,+10 Fire Damage,Surprisingly lightweight,102.4
